Date,Open,High,Low,Close,Adj Close,Volume
2019-01-15,7.433500,7.434800,7.420700,7.434500,7.434500,0
2019-01-16,7.425500,7.433100,7.411200,7.425400,7.425400,0
2019-01-17,7.420600,7.427900,7.408600,7.424000,7.424000,0
2019-01-18,7.423700,7.431400,7.418800,7.423900,7.423900,0
2019-01-21,7.426700,7.430000,7.420400,7.426700,7.426700,0
2019-01-22,7.421400,7.427300,7.419200,7.424600,7.424600,0
2019-01-23,7.425900,7.436700,7.420100,7.422500,7.422500,0
2019-01-24,7.434000,7.436900,7.419700,7.433100,7.433100,0
2019-01-25,7.432300,7.435900,7.338100,7.432000,7.432000,0
2019-01-28,7.424100,7.433200,7.418500,7.279500,7.279500,0
2019-01-29,7.423600,7.428300,7.417700,7.424000,7.424000,0
2019-01-30,7.423600,7.435700,7.274000,7.423300,7.423300,0
2019-01-31,7.422200,7.425500,7.417700,7.421400,7.421400,0
2019-02-01,7.422000,7.423300,7.407100,7.418400,7.418400,0
2019-02-04,7.410300,7.421300,7.408400,7.410300,7.410300,0
2019-02-05,7.413300,7.416200,7.406000,7.413000,7.413000,0
2019-02-06,7.407200,7.417200,7.399300,7.411600,7.411600,0
2019-02-07,7.412400,7.420300,7.402800,7.415700,7.415700,0
2019-02-08,7.406000,7.416300,7.398800,7.405000,7.405000,0
2019-02-11,7.257500,7.411300,7.257500,7.400800,7.400800,0
2019-02-12,7.403400,7.408900,7.399900,7.403000,7.403000,0
2019-02-13,7.407300,7.408000,7.399300,7.404000,7.404000,0
2019-02-14,7.404600,7.408100,7.399700,7.402300,7.402300,0
2019-02-15,7.404900,7.409900,7.401300,7.403000,7.403000,0
2019-02-18,7.407900,7.414600,7.401500,7.407900,7.407900,0
2019-02-19,7.407000,7.416600,7.401500,7.412000,7.412000,0
2019-02-20,7.410000,7.416000,7.408000,7.409900,7.409900,0
2019-02-21,7.414300,7.418000,7.408400,7.412000,7.412000,0
2019-02-22,7.413700,7.433200,7.411000,7.413000,7.413000,0
2019-02-25,7.272500,7.431000,7.272500,7.422000,7.422000,0
2019-02-26,7.427000,7.430600,7.422400,7.429300,7.429300,0
2019-02-27,7.427900,7.429300,7.423000,7.424700,7.424700,0
2019-02-28,7.427000,7.429300,7.423300,7.426400,7.426400,0
2019-03-01,7.427600,7.431900,7.421400,7.428000,7.428000,0
2019-03-04,7.424100,7.434600,7.416900,7.424100,7.424100,0
2019-03-05,7.424700,7.431300,7.418700,7.430000,7.430000,0
2019-03-06,7.421300,7.429900,7.413700,7.419700,7.419700,0
2019-03-07,7.415300,7.421700,7.408100,7.420600,7.420600,0
2019-03-08,7.413300,7.423900,7.403100,7.410000,7.410000,0
2019-03-11,7.414300,7.414300,7.407200,7.414300,7.414300,0
2019-03-12,7.411700,7.416000,7.407200,7.410000,7.410000,0
2019-03-13,7.412500,7.419900,7.409000,7.415000,7.415000,0
2019-03-14,7.419200,7.422800,7.409100,7.412700,7.412700,0
2019-03-15,7.420600,7.421900,7.409000,7.419300,7.419300,0
2019-03-18,7.417300,7.425300,7.408600,7.417300,7.417300,0
2019-03-19,7.414600,7.417900,7.409400,7.414700,7.414700,0
2019-03-20,7.410000,7.417700,7.409300,7.413300,7.413300,0
2019-03-21,7.414400,7.418600,7.412300,7.414000,7.414000,0
2019-03-22,7.412300,7.418900,7.411400,7.415700,7.415700,0
2019-03-25,7.267800,7.430400,7.267800,7.435900,7.435900,0
2019-03-26,7.414300,7.420300,7.413000,7.417600,7.417600,0
2019-03-27,7.415300,7.428800,7.413400,7.419600,7.419600,0
